judge,model,family,metric,k,n,rate,wilson_low,wilson_high,boot_low,boot_high
hybrid:or,olmo2-llm,cross_metric_marginal,accuracy,20,20,1.0,0.839,1.0,,
hybrid:or,olmo2-llm,subtle_regression,accuracy,20,20,1.0,0.839,1.0,,
hybrid:or,phi4-llm,no_change,accuracy,20,20,1.0,0.839,1.0,,
hybrid:or,phi4-llm,noise_equivalent,accuracy,20,20,1.0,0.839,1.0,,
hybrid:or,phi4-llm,healed_transient,accuracy,0,20,0.0,0.0,0.161,,
hybrid:or,phi4-llm,clean_mean_shift,accuracy,20,20,1.0,0.839,1.0,,
hybrid:or,phi4-llm,variance_increase,accuracy,18,20,0.9,0.699,0.972,,
hybrid:or,phi4-llm,tail_regression,accuracy,20,20,1.0,0.839,1.0,,
hybrid:or,phi4-llm,gradual_drift,accuracy,19,20,0.95,0.764,0.991,,
hybrid:or,phi4-llm,cross_metric_marginal,accuracy,0,20,0.0,0.0,0.161,,
hybrid:or,phi4-llm,subtle_regression,accuracy,18,20,0.9,0.699,0.972,,
hybrid:or,qwen-llm,no_change,accuracy,14,20,0.7,0.481,0.855,,
hybrid:or,qwen-llm,noise_equivalent,accuracy,9,20,0.45,0.258,0.658,,
hybrid:or,qwen-llm,healed_transient,accuracy,0,20,0.0,0.0,0.161,,
hybrid:or,qwen-llm,clean_mean_shift,accuracy,20,20,1.0,0.839,1.0,,
hybrid:or,qwen-llm,variance_increase,accuracy,20,20,1.0,0.839,1.0,,
hybrid:or,qwen-llm,tail_regression,accuracy,20,20,1.0,0.839,1.0,,
hybrid:or,qwen-llm,gradual_drift,accuracy,20,20,1.0,0.839,1.0,,
hybrid:or,qwen-llm,cross_metric_marginal,accuracy,3,20,0.15,0.052,0.36,,
hybrid:or,qwen-llm,subtle_regression,accuracy,20,20,1.0,0.839,1.0,,
hybrid:and,deepseek-r1-llm,no_change,accuracy,20,20,1.0,0.839,1.0,,
hybrid:and,deepseek-r1-llm,noise_equivalent,accuracy,20,20,1.0,0.839,1.0,,
hybrid:and,deepseek-r1-llm,healed_transient,accuracy,20,20,1.0,0.839,1.0,,
hybrid:and,deepseek-r1-llm,clean_mean_shift,accuracy,19,20,0.95,0.764,0.991,,
hybrid:and,deepseek-r1-llm,variance_increase,accuracy,0,20,0.0,0.0,0.161,,
hybrid:and,deepseek-r1-llm,tail_regression,accuracy,0,20,0.0,0.0,0.161,,
hybrid:and,deepseek-r1-llm,gradual_drift,accuracy,0,20,0.0,0.0,0.161,,
hybrid:and,deepseek-r1-llm,cross_metric_marginal,accuracy,0,20,0.0,0.0,0.161,,
hybrid:and,deepseek-r1-llm,subtle_regression,accuracy,18,20,0.9,0.699,0.972,,
hybrid:and,granite-vision-vlm,no_change,accuracy,20,20,1.0,0.839,1.0,,
hybrid:and,granite-vision-vlm,noise_equivalent,accuracy,20,20,1.0,0.839,1.0,,
hybrid:and,granite-vision-vlm,healed_transient,accuracy,20,20,1.0,0.839,1.0,,
hybrid:and,granite-vision-vlm,clean_mean_shift,accuracy,20,20,1.0,0.839,1.0,,
hybrid:and,granite-vision-vlm,variance_increase,accuracy,0,20,0.0,0.0,0.161,,
hybrid:and,granite-vision-vlm,tail_regression,accuracy,0,20,0.0,0.0,0.161,,
hybrid:and,granite-vision-vlm,gradual_drift,accuracy,0,20,0.0,0.0,0.161,,
hybrid:and,granite-vision-vlm,cross_metric_marginal,accuracy,0,20,0.0,0.0,0.161,,
hybrid:and,granite-vision-vlm,subtle_regression,accuracy,18,20,0.9,0.699,0.972,,
hybrid:and,minicpm-v-vlm,no_change,accuracy,20,20,1.0,0.839,1.0,,
hybrid:and,minicpm-v-vlm,noise_equivalent,accuracy,20,20,1.0,0.839,1.0,,
hybrid:and,minicpm-v-vlm,healed_transient,accuracy,20,20,1.0,0.839,1.0,,
hybrid:and,minicpm-v-vlm,clean_mean_shift,accuracy,15,20,0.75,0.531,0.888,,
hybrid:and,minicpm-v-vlm,variance_increase,accuracy,0,20,0.0,0.0,0.161,,
hybrid:and,minicpm-v-vlm,tail_regression,accuracy,0,20,0.0,0.0,0.161,,
hybrid:and,minicpm-v-vlm,gradual_drift,accuracy,0,20,0.0,0.0,0.161,,
hybrid:and,minicpm-v-vlm,cross_metric_marginal,accuracy,0,20,0.0,0.0,0.161,,
hybrid:and,minicpm-v-vlm,subtle_regression,accuracy,10,20,0.5,0.299,0.701,,
hybrid:and,mistral-nemo-llm,no_change,accuracy,20,20,1.0,0.839,1.0,,
hybrid:and,mistral-nemo-llm,noise_equivalent,accuracy,20,20,1.0,0.839,1.0,,
hybrid:and,mistral-nemo-llm,healed_transient,accuracy,20,20,1.0,0.839,1.0,,
hybrid:and,mistral-nemo-llm,clean_mean_shift,accuracy,20,20,1.0,0.839,1.0,,
hybrid:and,mistral-nemo-llm,variance_increase,accuracy,0,20,0.0,0.0,0.161,,
hybrid:and,mistral-nemo-llm,tail_regression,accuracy,0,20,0.0,0.0,0.161,,
hybrid:and,mistral-nemo-llm,gradual_drift,accuracy,0,20,0.0,0.0,0.161,,
hybrid:and,mistral-nemo-llm,cross_metric_marginal,accuracy,0,20,0.0,0.0,0.161,,
hybrid:and,mistral-nemo-llm,subtle_regression,accuracy,17,20,0.85,0.64,0.948,,
hybrid:and,moondream-vlm,no_change,accuracy,20,20,1.0,0.839,1.0,,
hybrid:and,moondream-vlm,noise_equivalent,accuracy,20,20,1.0,0.839,1.0,,
hybrid:and,moondream-vlm,healed_transient,accuracy,20,20,1.0,0.839,1.0,,
hybrid:and,moondream-vlm,clean_mean_shift,accuracy,10,20,0.5,0.299,0.701,,
hybrid:and,moondream-vlm,variance_increase,accuracy,0,20,0.0,0.0,0.161,,
hybrid:and,moondream-vlm,tail_regression,accuracy,0,20,0.0,0.0,0.161,,
hybrid:and,moondream-vlm,gradual_drift,accuracy,0,20,0.0,0.0,0.161,,
hybrid:and,moondream-vlm,cross_metric_marginal,accuracy,0,20,0.0,0.0,0.161,,
hybrid:and,moondream-vlm,subtle_regression,accuracy,8,20,0.4,0.219,0.613,,
hybrid:and,olmo2-llm,no_change,accuracy,20,20,1.0,0.839,1.0,,
hybrid:and,olmo2-llm,noise_equivalent,accuracy,20,20,1.0,0.839,1.0,,
hybrid:and,olmo2-llm,healed_transient,accuracy,20,20,1.0,0.839,1.0,,
hybrid:and,olmo2-llm,clean_mean_shift,accuracy,20,20,1.0,0.839,1.0,,
hybrid:and,olmo2-llm,variance_increase,accuracy,0,20,0.0,0.0,0.161,,
hybrid:and,olmo2-llm,tail_regression,accuracy,0,20,0.0,0.0,0.161,,
hybrid:and,olmo2-llm,gradual_drift,accuracy,0,20,0.0,0.0,0.161,,
hybrid:and,olmo2-llm,cross_metric_marginal,accuracy,0,20,0.0,0.0,0.161,,
hybrid:and,olmo2-llm,subtle_regression,accuracy,18,20,0.9,0.699,0.972,,
hybrid:and,phi4-llm,no_change,accuracy,20,20,1.0,0.839,1.0,,
hybrid:and,phi4-llm,noise_equivalent,accuracy,20,20,1.0,0.839,1.0,,
hybrid:and,phi4-llm,healed_transient,accuracy,20,20,1.0,0.839,1.0,,
hybrid:and,phi4-llm,clean_mean_shift,accuracy,20,20,1.0,0.839,1.0,,
hybrid:and,phi4-llm,variance_increase,accuracy,0,20,0.0,0.0,0.161,,
hybrid:and,phi4-llm,tail_regression,accuracy,0,20,0.0,0.0,0.161,,
hybrid:and,phi4-llm,gradual_drift,accuracy,0,20,0.0,0.0,0.161,,
hybrid:and,phi4-llm,cross_metric_marginal,accuracy,0,20,0.0,0.0,0.161,,
hybrid:and,phi4-llm,subtle_regression,accuracy,18,20,0.9,0.699,0.972,,
hybrid:and,qwen-llm,no_change,accuracy,20,20,1.0,0.839,1.0,,
hybrid:and,qwen-llm,noise_equivalent,accuracy,20,20,1.0,0.839,1.0,,
hybrid:and,qwen-llm,healed_transient,accuracy,20,20,1.0,0.839,1.0,,
hybrid:and,qwen-llm,clean_mean_shift,accuracy,20,20,1.0,0.839,1.0,,
hybrid:and,qwen-llm,variance_increase,accuracy,0,20,0.0,0.0,0.161,,
hybrid:and,qwen-llm,tail_regression,accuracy,0,20,0.0,0.0,0.161,,
hybrid:and,qwen-llm,gradual_drift,accuracy,0,20,0.0,0.0,0.161,,
hybrid:and,qwen-llm,cross_metric_marginal,accuracy,0,20,0.0,0.0,0.161,,
hybrid:and,qwen-llm,subtle_regression,accuracy,18,20,0.9,0.699,0.972,,
