source,judge,model,curve,threshold,x,y
ai:raw/claude-opus-4-8-vlm (frontier best rep),ai:raw,claude-opus-4-8-vlm,pr,70.0,0.775,0.8611
ai:raw/claude-opus-4-8-vlm (frontier best rep),ai:raw,claude-opus-4-8-vlm,roc,68.0,0.25,0.8167
ai:raw/claude-opus-4-8-vlm (frontier best rep),ai:raw,claude-opus-4-8-vlm,pr,68.0,0.8167,0.8673
ai:raw/claude-opus-4-8-vlm (frontier best rep),ai:raw,claude-opus-4-8-vlm,roc,65.0,0.2833,0.8333
ai:raw/claude-opus-4-8-vlm (frontier best rep),ai:raw,claude-opus-4-8-vlm,pr,65.0,0.8333,0.8547
ai:raw/claude-opus-4-8-vlm (frontier best rep),ai:raw,claude-opus-4-8-vlm,roc,62.0,0.2833,0.8417
ai:raw/claude-opus-4-8-vlm (frontier best rep),ai:raw,claude-opus-4-8-vlm,pr,62.0,0.8417,0.8559
ai:raw/claude-opus-4-8-vlm (frontier best rep),ai:raw,claude-opus-4-8-vlm,roc,55.0,0.2833,0.8583
ai:raw/claude-opus-4-8-vlm (frontier best rep),ai:raw,claude-opus-4-8-vlm,pr,55.0,0.8583,0.8583
ai:raw/claude-opus-4-8-vlm (frontier best rep),ai:raw,claude-opus-4-8-vlm,roc,45.0,0.3167,0.8583
ai:raw/claude-opus-4-8-vlm (frontier best rep),ai:raw,claude-opus-4-8-vlm,pr,45.0,0.8583,0.8443
ai:raw/claude-opus-4-8-vlm (frontier best rep),ai:raw,claude-opus-4-8-vlm,roc,40.0,0.3167,0.8667
ai:raw/claude-opus-4-8-vlm (frontier best rep),ai:raw,claude-opus-4-8-vlm,pr,40.0,0.8667,0.8455
ai:raw/claude-opus-4-8-vlm (frontier best rep),ai:raw,claude-opus-4-8-vlm,roc,38.0,0.35,0.9
ai:raw/claude-opus-4-8-vlm (frontier best rep),ai:raw,claude-opus-4-8-vlm,pr,38.0,0.9,0.8372
