judge,model,family,n_seeds,n_pooled,accuracy_mean,ci_low,ci_high,boot_low,boot_high,identical_across_seeds
ai:raw,olmo2-llm,clean_mean_shift,5,25,1.0,0.867,1.0,1.0,1.0,yes
ai:raw,olmo2-llm,variance_increase,5,25,1.0,0.867,1.0,1.0,1.0,yes
ai:raw,olmo2-llm,tail_regression,5,25,1.0,0.867,1.0,1.0,1.0,yes
ai:raw,olmo2-llm,gradual_drift,5,25,1.0,0.867,1.0,1.0,1.0,yes
ai:raw,olmo2-llm,cross_metric_marginal,5,25,1.0,0.867,1.0,1.0,1.0,yes
ai:raw,olmo2-llm,subtle_regression,5,25,1.0,0.867,1.0,1.0,1.0,yes
ai:raw,phi4-llm,no_change,5,25,0.28,0.143,0.476,0.2,0.36,
ai:raw,phi4-llm,noise_equivalent,5,25,0.0,0.0,0.133,0.0,0.0,yes
ai:raw,phi4-llm,healed_transient,5,25,0.04,0.007,0.195,0.0,0.12,
ai:raw,phi4-llm,clean_mean_shift,5,25,1.0,0.867,1.0,1.0,1.0,yes
ai:raw,phi4-llm,variance_increase,5,25,1.0,0.867,1.0,1.0,1.0,yes
ai:raw,phi4-llm,tail_regression,5,25,1.0,0.867,1.0,1.0,1.0,yes
ai:raw,phi4-llm,gradual_drift,5,25,1.0,0.867,1.0,1.0,1.0,yes
ai:raw,phi4-llm,cross_metric_marginal,5,25,1.0,0.867,1.0,1.0,1.0,yes
ai:raw,phi4-llm,subtle_regression,5,25,1.0,0.867,1.0,1.0,1.0,yes
ai:raw,qwen-llm,no_change,5,25,0.52,0.335,0.7,0.4,0.68,
ai:raw,qwen-llm,noise_equivalent,5,25,0.0,0.0,0.133,0.0,0.0,yes
ai:raw,qwen-llm,healed_transient,5,25,0.0,0.0,0.133,0.0,0.0,yes
ai:raw,qwen-llm,clean_mean_shift,5,25,1.0,0.867,1.0,1.0,1.0,yes
ai:raw,qwen-llm,variance_increase,5,25,1.0,0.867,1.0,1.0,1.0,yes
ai:raw,qwen-llm,tail_regression,5,25,1.0,0.867,1.0,1.0,1.0,yes
ai:raw,qwen-llm,gradual_drift,5,25,1.0,0.867,1.0,1.0,1.0,yes
ai:raw,qwen-llm,cross_metric_marginal,5,25,0.68,0.484,0.828,0.6,0.76,
ai:raw,qwen-llm,subtle_regression,5,25,1.0,0.867,1.0,1.0,1.0,yes
ai:summary,deepseek-r1-llm,no_change,5,25,0.48,0.3,0.665,0.4,0.56,
ai:summary,deepseek-r1-llm,noise_equivalent,5,25,0.24,0.115,0.434,0.12,0.36,
ai:summary,deepseek-r1-llm,healed_transient,5,25,0.04,0.007,0.195,0.0,0.12,
ai:summary,deepseek-r1-llm,clean_mean_shift,5,25,1.0,0.867,1.0,1.0,1.0,yes
ai:summary,deepseek-r1-llm,variance_increase,5,25,1.0,0.867,1.0,1.0,1.0,yes
ai:summary,deepseek-r1-llm,tail_regression,5,25,1.0,0.867,1.0,1.0,1.0,yes
ai:summary,deepseek-r1-llm,gradual_drift,5,25,1.0,0.867,1.0,1.0,1.0,yes
ai:summary,deepseek-r1-llm,cross_metric_marginal,5,25,0.92,0.75,0.978,0.84,1.0,
ai:summary,deepseek-r1-llm,subtle_regression,5,25,0.84,0.653,0.936,0.72,0.96,
ai:summary,mistral-nemo-llm,no_change,5,25,1.0,0.867,1.0,1.0,1.0,yes
ai:summary,mistral-nemo-llm,noise_equivalent,5,25,0.68,0.484,0.828,0.44,0.92,
ai:summary,mistral-nemo-llm,healed_transient,5,25,0.0,0.0,0.133,0.0,0.0,yes
ai:summary,mistral-nemo-llm,clean_mean_shift,5,25,1.0,0.867,1.0,1.0,1.0,yes
ai:summary,mistral-nemo-llm,variance_increase,5,25,1.0,0.867,1.0,1.0,1.0,yes
ai:summary,mistral-nemo-llm,tail_regression,5,25,1.0,0.867,1.0,1.0,1.0,yes
ai:summary,mistral-nemo-llm,gradual_drift,5,25,1.0,0.867,1.0,1.0,1.0,yes
ai:summary,mistral-nemo-llm,cross_metric_marginal,5,25,0.0,0.0,0.133,0.0,0.0,yes
ai:summary,mistral-nemo-llm,subtle_regression,5,25,1.0,0.867,1.0,1.0,1.0,yes
ai:summary,olmo2-llm,no_change,5,25,0.0,0.0,0.133,0.0,0.0,yes
ai:summary,olmo2-llm,noise_equivalent,5,25,0.0,0.0,0.133,0.0,0.0,yes
ai:summary,olmo2-llm,healed_transient,5,25,0.0,0.0,0.133,0.0,0.0,yes
ai:summary,olmo2-llm,clean_mean_shift,5,25,1.0,0.867,1.0,1.0,1.0,yes
ai:summary,olmo2-llm,variance_increase,5,25,1.0,0.867,1.0,1.0,1.0,yes
ai:summary,olmo2-llm,tail_regression,5,25,1.0,0.867,1.0,1.0,1.0,yes
ai:summary,olmo2-llm,gradual_drift,5,25,1.0,0.867,1.0,1.0,1.0,yes
ai:summary,olmo2-llm,cross_metric_marginal,5,25,1.0,0.867,1.0,1.0,1.0,yes
ai:summary,olmo2-llm,subtle_regression,5,25,1.0,0.867,1.0,1.0,1.0,yes
ai:summary,phi4-llm,no_change,5,25,1.0,0.867,1.0,1.0,1.0,yes
ai:summary,phi4-llm,noise_equivalent,5,25,0.52,0.335,0.7,0.24,0.8,
ai:summary,phi4-llm,healed_transient,5,25,0.0,0.0,0.133,0.0,0.0,yes
ai:summary,phi4-llm,clean_mean_shift,5,25,1.0,0.867,1.0,1.0,1.0,yes
ai:summary,phi4-llm,variance_increase,5,25,1.0,0.867,1.0,1.0,1.0,yes
ai:summary,phi4-llm,tail_regression,5,25,1.0,0.867,1.0,1.0,1.0,yes
ai:summary,phi4-llm,gradual_drift,5,25,1.0,0.867,1.0,1.0,1.0,yes
ai:summary,phi4-llm,cross_metric_marginal,5,25,0.8,0.609,0.911,0.68,0.92,
ai:summary,phi4-llm,subtle_regression,5,25,1.0,0.867,1.0,1.0,1.0,yes
ai:summary,qwen-llm,no_change,5,25,0.84,0.653,0.936,0.72,0.96,
ai:summary,qwen-llm,noise_equivalent,5,25,0.36,0.202,0.555,0.24,0.48,
ai:summary,qwen-llm,healed_transient,5,25,0.0,0.0,0.133,0.0,0.0,yes
ai:summary,qwen-llm,clean_mean_shift,5,25,1.0,0.867,1.0,1.0,1.0,yes
ai:summary,qwen-llm,variance_increase,5,25,1.0,0.867,1.0,1.0,1.0,yes
ai:summary,qwen-llm,tail_regression,5,25,1.0,0.867,1.0,1.0,1.0,yes
ai:summary,qwen-llm,gradual_drift,5,25,1.0,0.867,1.0,1.0,1.0,yes
ai:summary,qwen-llm,cross_metric_marginal,5,25,0.12,0.042,0.3,0.04,0.2,
ai:summary,qwen-llm,subtle_regression,5,25,1.0,0.867,1.0,1.0,1.0,yes
hybrid:and,deepseek-r1-llm,no_change,5,25,1.0,0.867,1.0,1.0,1.0,yes
hybrid:and,deepseek-r1-llm,noise_equivalent,5,25,1.0,0.867,1.0,1.0,1.0,yes
hybrid:and,deepseek-r1-llm,healed_transient,5,25,1.0,0.867,1.0,1.0,1.0,yes
hybrid:and,deepseek-r1-llm,clean_mean_shift,5,25,1.0,0.867,1.0,1.0,1.0,yes
hybrid:and,deepseek-r1-llm,variance_increase,5,25,0.0,0.0,0.133,0.0,0.0,yes
hybrid:and,deepseek-r1-llm,tail_regression,5,25,0.04,0.007,0.195,0.0,0.12,
hybrid:and,deepseek-r1-llm,gradual_drift,5,25,0.0,0.0,0.133,0.0,0.0,yes
hybrid:and,deepseek-r1-llm,cross_metric_marginal,5,25,0.0,0.0,0.133,0.0,0.0,yes
hybrid:and,deepseek-r1-llm,subtle_regression,5,25,0.8,0.609,0.911,0.68,0.92,
hybrid:and,granite-vision-vlm,no_change,5,25,1.0,0.867,1.0,1.0,1.0,yes
hybrid:and,granite-vision-vlm,noise_equivalent,5,25,1.0,0.867,1.0,1.0,1.0,yes
hybrid:and,granite-vision-vlm,healed_transient,5,25,1.0,0.867,1.0,1.0,1.0,yes
hybrid:and,granite-vision-vlm,clean_mean_shift,5,25,1.0,0.867,1.0,1.0,1.0,yes
hybrid:and,granite-vision-vlm,variance_increase,5,25,0.0,0.0,0.133,0.0,0.0,yes
hybrid:and,granite-vision-vlm,tail_regression,5,25,0.04,0.007,0.195,0.0,0.12,
hybrid:and,granite-vision-vlm,gradual_drift,5,25,0.0,0.0,0.133,0.0,0.0,yes
hybrid:and,granite-vision-vlm,cross_metric_marginal,5,25,0.0,0.0,0.133,0.0,0.0,yes
hybrid:and,granite-vision-vlm,subtle_regression,5,25,0.92,0.75,0.978,0.84,1.0,
hybrid:and,minicpm-v-vlm,no_change,5,25,1.0,0.867,1.0,1.0,1.0,yes
hybrid:and,minicpm-v-vlm,noise_equivalent,5,25,1.0,0.867,1.0,1.0,1.0,yes
hybrid:and,minicpm-v-vlm,healed_transient,5,25,1.0,0.867,1.0,1.0,1.0,yes
hybrid:and,minicpm-v-vlm,clean_mean_shift,5,25,0.72,0.524,0.857,0.64,0.8,
hybrid:and,minicpm-v-vlm,variance_increase,5,25,0.0,0.0,0.133,0.0,0.0,yes
hybrid:and,minicpm-v-vlm,tail_regression,5,25,0.04,0.007,0.195,0.0,0.12,
hybrid:and,minicpm-v-vlm,gradual_drift,5,25,0.0,0.0,0.133,0.0,0.0,yes
hybrid:and,minicpm-v-vlm,cross_metric_marginal,5,25,0.0,0.0,0.133,0.0,0.0,yes
hybrid:and,minicpm-v-vlm,subtle_regression,5,25,0.64,0.445,0.798,0.44,0.84,
hybrid:and,mistral-nemo-llm,no_change,5,25,1.0,0.867,1.0,1.0,1.0,yes
hybrid:and,mistral-nemo-llm,noise_equivalent,5,25,1.0,0.867,1.0,1.0,1.0,yes
hybrid:and,mistral-nemo-llm,healed_transient,5,25,1.0,0.867,1.0,1.0,1.0,yes
hybrid:and,mistral-nemo-llm,clean_mean_shift,5,25,1.0,0.867,1.0,1.0,1.0,yes
