judge,model,family,n_seeds,n_pooled,accuracy_mean,ci_low,ci_high,boot_low,boot_high,identical_across_seeds
hybrid:or,granite-vision-vlm,healed_transient,5,25,1.0,0.867,1.0,1.0,1.0,yes
hybrid:or,granite-vision-vlm,clean_mean_shift,5,25,1.0,0.867,1.0,1.0,1.0,yes
hybrid:or,granite-vision-vlm,variance_increase,5,25,0.0,0.0,0.133,0.0,0.0,yes
hybrid:or,granite-vision-vlm,tail_regression,5,25,0.68,0.484,0.828,0.6,0.84,
hybrid:or,granite-vision-vlm,gradual_drift,5,25,0.04,0.007,0.195,0.0,0.12,
hybrid:or,granite-vision-vlm,cross_metric_marginal,5,25,0.0,0.0,0.133,0.0,0.0,yes
hybrid:or,granite-vision-vlm,subtle_regression,5,25,0.96,0.805,0.993,0.88,1.0,
hybrid:or,minicpm-v-vlm,no_change,5,25,1.0,0.867,1.0,1.0,1.0,yes
hybrid:or,minicpm-v-vlm,noise_equivalent,5,25,0.88,0.7,0.958,0.8,0.96,
hybrid:or,minicpm-v-vlm,healed_transient,5,25,0.0,0.0,0.133,0.0,0.0,yes
hybrid:or,minicpm-v-vlm,clean_mean_shift,5,25,1.0,0.867,1.0,1.0,1.0,yes
hybrid:or,minicpm-v-vlm,variance_increase,5,25,1.0,0.867,1.0,1.0,1.0,yes
hybrid:or,minicpm-v-vlm,tail_regression,5,25,1.0,0.867,1.0,1.0,1.0,yes
hybrid:or,minicpm-v-vlm,gradual_drift,5,25,0.0,0.0,0.133,0.0,0.0,yes
hybrid:or,minicpm-v-vlm,cross_metric_marginal,5,25,0.0,0.0,0.133,0.0,0.0,yes
hybrid:or,minicpm-v-vlm,subtle_regression,5,25,0.96,0.805,0.993,0.88,1.0,
hybrid:or,mistral-nemo-llm,no_change,5,25,1.0,0.867,1.0,1.0,1.0,yes
hybrid:or,mistral-nemo-llm,noise_equivalent,5,25,0.68,0.484,0.828,0.44,0.92,
hybrid:or,mistral-nemo-llm,healed_transient,5,25,0.0,0.0,0.133,0.0,0.0,yes
hybrid:or,mistral-nemo-llm,clean_mean_shift,5,25,1.0,0.867,1.0,1.0,1.0,yes
hybrid:or,mistral-nemo-llm,variance_increase,5,25,1.0,0.867,1.0,1.0,1.0,yes
hybrid:or,mistral-nemo-llm,tail_regression,5,25,1.0,0.867,1.0,1.0,1.0,yes
hybrid:or,mistral-nemo-llm,gradual_drift,5,25,1.0,0.867,1.0,1.0,1.0,yes
hybrid:or,mistral-nemo-llm,cross_metric_marginal,5,25,0.0,0.0,0.133,0.0,0.0,yes
hybrid:or,mistral-nemo-llm,subtle_regression,5,25,1.0,0.867,1.0,1.0,1.0,yes
hybrid:or,moondream-vlm,no_change,5,25,0.84,0.653,0.936,0.68,1.0,
hybrid:or,moondream-vlm,noise_equivalent,5,25,0.84,0.653,0.936,0.72,0.96,
hybrid:or,moondream-vlm,healed_transient,5,25,0.96,0.805,0.993,0.88,1.0,
hybrid:or,moondream-vlm,clean_mean_shift,5,25,1.0,0.867,1.0,1.0,1.0,yes
hybrid:or,moondream-vlm,variance_increase,5,25,0.12,0.042,0.3,0.04,0.2,
hybrid:or,moondream-vlm,tail_regression,5,25,0.36,0.202,0.555,0.16,0.56,
hybrid:or,moondream-vlm,gradual_drift,5,25,0.52,0.335,0.7,0.32,0.68,
hybrid:or,moondream-vlm,cross_metric_marginal,5,25,1.0,0.867,1.0,1.0,1.0,yes
hybrid:or,moondream-vlm,subtle_regression,5,25,0.96,0.805,0.993,0.88,1.0,
hybrid:or,olmo2-llm,no_change,5,25,0.0,0.0,0.133,0.0,0.0,yes
hybrid:or,olmo2-llm,noise_equivalent,5,25,0.0,0.0,0.133,0.0,0.0,yes
hybrid:or,olmo2-llm,healed_transient,5,25,0.0,0.0,0.133,0.0,0.0,yes
hybrid:or,olmo2-llm,clean_mean_shift,5,25,1.0,0.867,1.0,1.0,1.0,yes
hybrid:or,olmo2-llm,variance_increase,5,25,1.0,0.867,1.0,1.0,1.0,yes
hybrid:or,olmo2-llm,tail_regression,5,25,1.0,0.867,1.0,1.0,1.0,yes
hybrid:or,olmo2-llm,gradual_drift,5,25,1.0,0.867,1.0,1.0,1.0,yes
hybrid:or,olmo2-llm,cross_metric_marginal,5,25,1.0,0.867,1.0,1.0,1.0,yes
hybrid:or,olmo2-llm,subtle_regression,5,25,1.0,0.867,1.0,1.0,1.0,yes
hybrid:or,phi4-llm,no_change,5,25,1.0,0.867,1.0,1.0,1.0,yes
hybrid:or,phi4-llm,noise_equivalent,5,25,1.0,0.867,1.0,1.0,1.0,yes
hybrid:or,phi4-llm,healed_transient,5,25,0.0,0.0,0.133,0.0,0.0,yes
hybrid:or,phi4-llm,clean_mean_shift,5,25,1.0,0.867,1.0,1.0,1.0,yes
hybrid:or,phi4-llm,variance_increase,5,25,0.8,0.609,0.911,0.6,0.96,
hybrid:or,phi4-llm,tail_regression,5,25,1.0,0.867,1.0,1.0,1.0,yes
hybrid:or,phi4-llm,gradual_drift,5,25,0.88,0.7,0.958,0.8,0.96,
hybrid:or,phi4-llm,cross_metric_marginal,5,25,0.0,0.0,0.133,0.0,0.0,yes
hybrid:or,phi4-llm,subtle_regression,5,25,0.96,0.805,0.993,0.88,1.0,
hybrid:or,qwen-llm,no_change,5,25,0.84,0.653,0.936,0.72,0.96,
hybrid:or,qwen-llm,noise_equivalent,5,25,0.36,0.202,0.555,0.24,0.48,
hybrid:or,qwen-llm,healed_transient,5,25,0.0,0.0,0.133,0.0,0.0,yes
hybrid:or,qwen-llm,clean_mean_shift,5,25,1.0,0.867,1.0,1.0,1.0,yes
hybrid:or,qwen-llm,variance_increase,5,25,1.0,0.867,1.0,1.0,1.0,yes
hybrid:or,qwen-llm,tail_regression,5,25,1.0,0.867,1.0,1.0,1.0,yes
hybrid:or,qwen-llm,gradual_drift,5,25,1.0,0.867,1.0,1.0,1.0,yes
hybrid:or,qwen-llm,cross_metric_marginal,5,25,0.12,0.042,0.3,0.04,0.2,
hybrid:or,qwen-llm,subtle_regression,5,25,1.0,0.867,1.0,1.0,1.0,yes
