judge,model,n_seeds,n_pooled,accuracy_mean,accuracy_ci_low,accuracy_ci_high,precision_mean,precision_ci_low,precision_ci_high,recall_mean,recall_ci_low,recall_ci_high,f1_mean,f1_ci_low,f1_ci_high,fpr_mean,fpr_ci_low,fpr_ci_high,fnr_mean,fnr_ci_low,fnr_ci_high,accuracy_boot_low,accuracy_boot_high,precision_boot_low,precision_boot_high,recall_boot_low,recall_boot_high,f1_boot_low,f1_boot_high,fpr_boot_low,fpr_boot_high,fnr_boot_low,fnr_boot_high,identical_across_seeds
hybrid:and,qwen-llm,5,225,0.556,0.49,0.619,1.0,0.929,1.0,0.333,0.263,0.412,0.5,,,0.0,0.0,0.049,0.667,0.588,0.737,0.542,0.569,1.0,1.0,0.313,0.353,0.477,0.522,0.0,0.0,0.647,0.687,precision;fpr
hybrid:gated,deepseek-r1-llm,5,225,0.804,0.748,0.851,0.801,0.736,0.853,0.94,0.89,0.968,0.865,,,0.467,0.358,0.578,0.06,0.032,0.11,0.769,0.844,0.771,0.833,0.893,0.98,0.84,0.891,0.387,0.573,0.02,0.107,
hybrid:gated,granite-vision-vlm,5,225,0.631,0.566,0.691,1.0,0.946,1.0,0.447,0.369,0.527,0.618,,,0.0,0.0,0.049,0.553,0.473,0.631,0.613,0.649,1.0,1.0,0.42,0.473,0.591,0.642,0.0,0.0,0.527,0.58,precision;fpr
hybrid:gated,minicpm-v-vlm,5,225,0.649,0.584,0.708,0.78,0.7,0.843,0.66,0.581,0.731,0.715,,,0.373,0.273,0.486,0.34,0.269,0.419,0.644,0.658,0.769,0.792,0.647,0.667,0.708,0.722,0.347,0.4,0.333,0.353,
hybrid:gated,mistral-nemo-llm,5,225,0.742,0.681,0.795,0.791,0.721,0.847,0.833,0.766,0.884,0.812,,,0.44,0.333,0.553,0.167,0.116,0.234,0.716,0.769,0.762,0.823,0.833,0.833,0.796,0.828,0.36,0.52,0.167,0.167,recall;fnr
hybrid:gated,moondream-vlm,5,225,0.733,0.672,0.787,0.917,0.849,0.956,0.66,0.581,0.731,0.767,,,0.12,0.064,0.213,0.34,0.269,0.419,0.64,0.804,0.824,0.991,0.58,0.713,0.68,0.829,0.013,0.24,0.287,0.42,
hybrid:gated,olmo2-llm,5,225,0.667,0.603,0.725,0.667,0.603,0.725,1.0,0.975,1.0,0.8,,,1.0,0.951,1.0,0.0,0.0,0.025,0.667,0.667,0.667,0.667,1.0,1.0,0.8,0.8,1.0,1.0,0.0,0.0,accuracy;precision;recall;f1;fpr;fnr
hybrid:gated,phi4-llm,5,225,0.738,0.677,0.791,0.823,0.751,0.877,0.773,0.7,0.833,0.797,,,0.333,0.237,0.446,0.227,0.167,0.3,0.707,0.764,0.813,0.83,0.727,0.813,0.767,0.821,0.333,0.333,0.187,0.273,fpr
hybrid:gated,qwen-llm,5,225,0.702,0.639,0.758,0.74,0.67,0.8,0.853,0.788,0.901,0.793,,,0.6,0.487,0.703,0.147,0.099,0.212,0.671,0.729,0.717,0.76,0.84,0.867,0.773,0.81,0.547,0.667,0.133,0.16,
hybrid:or,deepseek-r1-llm,5,225,0.804,0.748,0.851,0.801,0.736,0.853,0.94,0.89,0.968,0.865,,,0.467,0.358,0.578,0.06,0.032,0.11,0.769,0.844,0.771,0.833,0.893,0.98,0.84,0.891,0.387,0.573,0.02,0.107,
hybrid:or,granite-vision-vlm,5,225,0.631,0.566,0.691,1.0,0.946,1.0,0.447,0.369,0.527,0.618,,,0.0,0.0,0.049,0.553,0.473,0.631,0.613,0.649,1.0,1.0,0.42,0.473,0.591,0.642,0.0,0.0,0.527,0.58,precision;fpr
hybrid:or,minicpm-v-vlm,5,225,0.649,0.584,0.708,0.78,0.7,0.843,0.66,0.581,0.731,0.715,,,0.373,0.273,0.486,0.34,0.269,0.419,0.644,0.658,0.769,0.792,0.647,0.667,0.708,0.722,0.347,0.4,0.333,0.353,
hybrid:or,mistral-nemo-llm,5,225,0.742,0.681,0.795,0.791,0.721,0.847,0.833,0.766,0.884,0.812,,,0.44,0.333,0.553,0.167,0.116,0.234,0.716,0.769,0.762,0.823,0.833,0.833,0.796,0.828,0.36,0.52,0.167,0.167,recall;fnr
hybrid:or,moondream-vlm,5,225,0.733,0.672,0.787,0.917,0.849,0.956,0.66,0.581,0.731,0.767,,,0.12,0.064,0.213,0.34,0.269,0.419,0.64,0.804,0.824,0.991,0.58,0.713,0.68,0.829,0.013,0.24,0.287,0.42,
hybrid:or,olmo2-llm,5,225,0.667,0.603,0.725,0.667,0.603,0.725,1.0,0.975,1.0,0.8,,,1.0,0.951,1.0,0.0,0.0,0.025,0.667,0.667,0.667,0.667,1.0,1.0,0.8,0.8,1.0,1.0,0.0,0.0,accuracy;precision;recall;f1;fpr;fnr
hybrid:or,phi4-llm,5,225,0.738,0.677,0.791,0.823,0.751,0.877,0.773,0.7,0.833,0.797,,,0.333,0.237,0.446,0.227,0.167,0.3,0.707,0.764,0.813,0.83,0.727,0.813,0.767,0.821,0.333,0.333,0.187,0.273,fpr
hybrid:or,qwen-llm,5,225,0.702,0.639,0.758,0.74,0.67,0.8,0.853,0.788,0.901,0.793,,,0.6,0.487,0.703,0.147,0.099,0.212,0.671,0.729,0.717,0.76,0.84,0.867,0.773,0.81,0.547,0.667,0.133,0.16,
